t_height,t_adx,strict,trades,net,win_rate,pf,max_dd_pct
6.0,16.0,False,407,-22441.68384623801,49.14004914004914,0.8802244663587822,34.79987822800059
6.0,20.0,False,392,-19496.25730752475,49.48979591836735,0.8952514976133468,32.64229558442717
6.0,24.0,False,361,-10546.102055710096,50.69252077562327,0.9420227783702358,23.37724111878828
6.0,28.0,False,311,-15695.59948488567,49.51768488745981,0.9030245471550192,27.30523954541782
6.0,32.0,False,260,-3654.298267778438,51.53846153846154,0.9729195981780904,17.173624141666817
9.0,16.0,False,397,-17230.7166572183,49.87405541561713,0.90879839551056,32.601605662995034
9.0,20.0,False,371,-14483.3589504137,50.13477088948787,0.9215563894430656,30.53632160479521
9.0,24.0,False,337,-5779.225167562636,51.3353115727003,0.9670435081488504,22.19962891795732
9.0,28.0,False,271,-6813.1159335491575,50.92250922509225,0.9528055608739456,24.4785493628712
9.0,32.0,False,219,5493.520080892889,53.42465753424658,1.048397366271043,17.587594766611407
12.0,16.0,False,354,-16358.948817913884,49.717514124293785,0.9061707359021332,29.293810750628253
12.0,20.0,False,334,-6618.356548240254,51.19760479041916,0.9618841904717668,25.836757951284
12.0,24.0,False,289,-1726.910159348772,51.90311418685121,0.9887695235519478,18.823962479398173
12.0,28.0,False,225,5353.302991389577,53.333333333333336,1.0452175052457224,16.7505352263756
12.0,32.0,False,168,18308.806746705188,57.142857142857146,1.2188912437357315,8.776440426156855
15.0,16.0,False,293,-16529.595879027624,49.14675767918089,0.8868670669649056,29.482591338672087
15.0,20.0,False,265,-11994.619829264262,49.81132075471698,0.9123089968250686,24.64286694212987
15.0,24.0,False,222,-11174.579494615087,49.549549549549546,0.904035429933369,20.55083941823265
15.0,28.0,False,168,-3272.672587237288,51.19047619047619,0.962365727048757,17.348105897184915
18.0,16.0,False,231,-12333.205141658604,49.35064935064935,0.8888125384649022,24.805272118278275
18.0,20.0,False,209,-11471.256521735717,49.2822966507177,0.8884659747885735,23.04557425623453
18.0,24.0,False,174,-7367.522970481879,50.0,0.9152871664072026,18.12573090623188
18.0,28.0,False,130,2433.672432969447,53.07692307692308,1.0376373691922085,13.395785880720316
18.0,32.0,False,91,11809.357143391637,58.24175824175824,1.2810646910538004,7.4650556700904
21.0,16.0,False,176,-9254.529840558682,49.43181818181818,0.8953764394102133,21.76112260422284
21.0,20.0,False,158,-6641.565175680475,50.0,0.91626444305656,20.0163153611614
21.0,24.0,False,125,-391.0829157893333,52.0,0.9937738785985774,14.348325762960217
21.0,28.0,False,93,3135.964351946554,53.763440860215056,1.068447363768238,8.315736139103311
21.0,32.0,False,73,6094.749384744138,56.16438356164384,1.174153252942482,6.484615929104996
24.0,16.0,False,138,-7710.199509581457,49.27536231884058,0.891076063469672,15.07803831646242
24.0,20.0,False,125,-9969.86878681634,48.0,0.8467598610467366,15.251774393100323
24.0,24.0,False,101,-3324.50712078595,50.495049504950494,0.936603891484664,10.412062224619447
24.0,28.0,False,80,-1413.100847538264,51.25,0.9653446110799168,8.085244175153127
24.0,32.0,False,64,1254.4715610078447,53.125,1.0391354569451,5.909776742844524
