date,category,n_trades,pnl,n_pre,n_h,n_l,lh_pct,ll_pct,mean_adx,h1,h3,h6,h_trend,vd_high,vd_low,coarse
2025-01-01,neutral,0,0.0,6,3,3,100.0,100.0,12.165305270950128,20.0,18.7,16.8,expanding,3.133333333333136,3.666666666667003,trending_down
2025-01-02,bad,2,-95.93887299038124,6,5,1,50.0,,17.621214576956373,7.2,7.8,7.0,stable,1.9199999999988115,3.9999999999995595,transitioning
2025-01-03,neutral,0,0.0,6,3,3,50.0,50.0,25.53615238088074,11.4,14.0,10.7,stable,5.733333333333146,5.066666666666553,ranging
2025-01-05,neutral,0,0.0,6,3,3,50.0,50.0,19.53126088826863,29.7,19.9,14.5,expanding,3.700000000000555,11.899999999999503,ranging
2025-01-06,neutral,0,0.0,6,3,3,0.0,0.0,15.428666773388132,7.6,14.6,12.9,stable,4.20000000000013,4.999999999999449,trending_up
2025-01-07,good,3,968.4564177908919,6,3,3,0.0,50.0,38.04595690938778,28.3,16.5,13.1,expanding,9.333333333333046,3.4333333333336213,transitioning
2025-01-08,good,1,1080.4852880712751,6,2,4,0.0,66.66666666666667,21.836695816074776,32.1,19.8,14.4,expanding,5.549999999999722,7.499999999999729,transitioning
2025-01-09,bad,2,-87.34072893995653,6,2,4,100.0,100.0,39.745023135127596,47.2,29.7,18.9,expanding,13.449999999999296,10.625000000000217,trending_down
2025-01-10,good,1,1084.568371334632,6,4,2,66.66666666666667,100.0,43.7488440738621,26.0,23.3,18.3,expanding,7.449999999999957,11.500000000000954,transitioning
2025-01-12,neutral,0,0.0,6,3,3,50.0,100.0,14.907703987828263,39.1,19.0,13.7,expanding,5.299999999999934,10.899999999999613,transitioning
2025-01-13,neutral,0,0.0,6,4,2,66.66666666666667,100.0,25.03634161612341,29.0,29.0,26.4,stable,6.199999999999539,5.950000000001232,transitioning
2025-01-14,neutral,0,0.0,6,2,4,0.0,0.0,30.709945911571353,35.3,39.5,24.5,stable,33.15000000000068,12.750000000000261,trending_up
2025-01-15,neutral,0,0.0,6,4,2,33.333333333333336,100.0,18.790498002295905,79.0,51.0,30.0,expanding,9.849999999999582,19.50000000000007,transitioning
2025-01-16,neutral,0,0.0,6,3,3,50.0,50.0,27.48454224186708,12.5,20.8,16.0,stable,4.066666666665923,11.866666666667433,ranging
2025-01-17,good,2,2204.253079648368,6,3,3,100.0,100.0,32.35242306913341,58.6,37.4,21.0,expanding,5.466666666666953,23.000000000000426,trending_down
2025-01-19,neutral,0,0.0,6,3,3,100.0,50.0,14.028407147511755,271.3,94.3,51.5,expanding,2.8999999999997548,89.26666666666675,transitioning
2025-01-20,neutral,0,0.0,6,3,3,50.0,0.0,15.753446021292033,10.7,13.0,13.7,contracting,4.333333333333596,1.8999999999991246,transitioning
2025-01-21,neutral,0,0.0,6,3,3,50.0,100.0,25.270759494841087,34.5,23.7,20.8,expanding,12.133333333333624,19.366666666666976,transitioning
2025-01-22,bad,3,-1327.9299179362254,6,3,3,50.0,100.0,28.7745019049332,17.6,12.8,15.2,stable,10.333333333333675,6.999999999999969,transitioning
2025-01-23,neutral,0,0.0,6,2,4,0.0,66.66666666666667,34.274235244998714,10.6,10.5,13.4,stable,8.80000000000103,7.250000000000312,transitioning
2025-01-24,neutral,0,0.0,6,3,3,50.0,100.0,26.63271762879448,18.8,20.9,19.4,stable,14.866666666666362,15.26666666666676,transitioning
2025-01-26,neutral,0,0.0,6,4,2,33.333333333333336,100.0,21.439279376603093,14.0,10.3,9.9,expanding,5.899999999999794,7.500000000000284,transitioning
2025-01-27,neutral,0,0.0,6,3,3,100.0,100.0,15.377320844699335,14.2,13.4,12.3,expanding,5.666666666666782,2.866666666666203,trending_down
2025-01-28,neutral,0,0.0,6,3,3,50.0,100.0,20.4624027130547,22.9,18.6,14.6,expanding,3.3666666666672582,9.99999999999964,transitioning
2025-01-29,neutral,0,0.0,6,3,3,50.0,100.0,18.84771996475465,12.2,13.5,11.9,stable,4.933333333333086,3.00000000000041,transitioning
2025-01-30,neutral,0,0.0,6,1,5,,75.0,21.634668393465656,16.0,9.3,8.7,expanding,7.099999999999884,3.9999999999995595,transitioning
2025-01-31,bad,2,-99.85991567519022,6,3,3,0.0,0.0,18.786802126923142,13.0,18.2,14.6,stable,5.933333333332976,4.666666666666153,trending_up
2025-02-02,neutral,0,0.0,6,3,3,50.0,50.0,24.929287267390205,13.8,18.2,20.4,contracting,6.066666666666443,1.2999999999996348,ranging
2025-02-03,neutral,0,0.0,6,3,3,50.0,100.0,33.41409475803632,25.2,18.5,15.2,expanding,3.0999999999995844,15.000000000000568,transitioning
2025-02-04,neutral,0,0.0,6,2,4,0.0,33.333333333333336,24.485042489658724,8.0,8.7,11.0,contracting,5.3000000000003045,3.9999999999995595,transitioning
2025-02-05,neutral,0,0.0,6,3,3,0.0,0.0,31.681498031921105,14.3,21.0,15.7,stable,13.499999999998883,9.666666666667082,trending_up
2025-02-06,bad,4,-201.58865986115097,6,5,1,75.0,,20.901726720092977,20.3,14.4,10.4,expanding,3.6199999999997345,32.300000000000665,transitioning
2025-02-07,neutral,0,0.0,6,3,3,50.0,0.0,20.683106852343005,8.0,7.4,6.0,expanding,2.5999999999992696,3.333333333332966,ranging
2025-02-09,neutral,0,0.0,6,4,2,66.66666666666667,100.0,13.346937971482928,11.1,14.9,13.4,stable,3.4250000000007885,8.050000000000557,transitioning
2025-02-10,bad,2,-2351.943335107416,6,2,4,0.0,33.333333333333336,25.213413917655107,13.5,14.5,13.1,stable,14.199999999999768,2.4999999999997247,transitioning
2025-02-11,neutral,0,0.0,6,4,2,33.333333333333336,100.0,19.594046855837576,14.9,14.9,12.4,stable,3.2250000000000334,11.499999999999844,transitioning
2025-02-12,neutral,0,0.0,6,5,1,0.0,,13.694233354765549,12.4,10.1,8.3,expanding,1.9599999999999618,0.9999999999998899,transitioning
2025-02-13,neutral,0,0.0,6,4,2,33.333333333333336,0.0,41.11053270249844,21.6,25.5,18.5,stable,6.050000000000222,6.199999999999539,transitioning
2025-02-14,neutral,0,0.0,6,3,3,0.0,0.0,27.871167834230988,11.0,12.3,13.2,contracting,5.733333333333146,7.00000000000071,trending_up
2025-02-16,neutral,0,0.0,6,4,2,66.66666666666667,100.0,29.792750733229454,6.3,6.4,7.4,contracting,5.975000000000286,7.500000000000284,transitioning
2025-02-17,neutral,0,0.0,6,4,2,33.333333333333336,100.0,19.055036428364303,15.0,14.1,10.1,expanding,5.675000000000541,1.9999999999997797,transitioning
2025-02-18,neutral,0,0.0,6,3,3,50.0,50.0,26.670049655431082,10.9,11.5,13.5,contracting,9.43333333333296,6.666666666665932,ranging
2025-02-19,bad,2,-106.31610042170655,6,2,4,100.0,33.333333333333336,17.659615285870213,18.8,22.8,15.5,stable,11.100000000000554,5.750000000000477,transitioning
2025-02-20,neutral,0,0.0,6,5,1,50.0,,15.871227946023076,12.0,13.7,10.9,stable,2.9799999999990945,1.9999999999997797,transitioning
2025-02-21,good,1,1073.965694618646,6,3,3,100.0,0.0,27.682004004299838,8.6,12.7,12.6,stable,4.79999999999962,4.666666666666153,transitioning
2025-02-23,neutral,0,0.0,6,4,2,66.66666666666667,0.0,17.28391301314383,9.7,12.2,15.5,contracting,3.7749999999997508,8.650000000000047,transitioning
2025-02-24,bad,1,-1175.4065688610567,6,5,1,75.0,,34.21776144485182,4.5,7.2,7.6,contracting,1.5000000000000568,2.9999999999996696,transitioning
2025-02-25,neutral,0,0.0,6,4,2,100.0,100.0,20.51548517385343,6.7,10.7,10.1,stable,3.3250000000001334,6.500000000000394,trending_down
2025-02-26,neutral,0,0.0,6,4,2,66.66666666666667,0.0,38.91568177588847,10.8,15.3,13.9,stable,4.550000000000387,4.999999999999449,transitioning
2025-02-27,good,2,2160.449845820299,6,4,2,0.0,0.0,25.875478825671127,15.0,12.7,11.3,expanding,4.749999999999477,2.500000000000835,trending_up
2025-02-28,neutral,0,0.0,6,2,4,0.0,33.333333333333336,16.56739082093748,8.2,8.4,9.9,contracting,1.6999999999989246,3.949999999999787,transitioning
2025-03-02,neutral,0,0.0,6,2,4,100.0,33.333333333333336,18.470972786295295,13.4,10.1,11.2,stable,4.849999999999577,4.275000000000806,transitioning
2025-03-03,neutral,0,0.0,6,4,2,66.66666666666667,0.0,15.18704933429889,10.3,8.5,9.1,stable,2.274999999999916,2.4999999999997247,ranging
2025-03-04,neutral,0,0.0,6,3,3,0.0,0.0,14.201533457280759,19.0,14.8,14.7,expanding,3.9999999999995595,2.466666666666543,trending_up
