T_h,T_adx,strict,trades,net,wr,pct_retained
0,0,False,414,-27848.436364367568,48.309178743961354,100.0
0,0,True,39,-11355.51318072945,35.8974358974359,9.420289855072463
0,15,False,384,-24549.90906489186,48.4375,92.7536231884058
0,15,True,36,-13786.033456388923,30.555555555555557,8.695652173913043
0,18,False,349,-18643.60673915357,48.99713467048711,84.29951690821257
0,18,True,35,-12775.327409428957,31.428571428571427,8.454106280193237
0,20,False,317,-12638.437323389351,49.8422712933754,76.57004830917874
0,20,True,30,-9799.211142360076,33.333333333333336,7.246376811594203
0,22,False,292,-3531.475546723128,51.36986301369863,70.53140096618357
0,22,True,27,-7129.2363816427105,37.03703703703704,6.521739130434782
0,25,False,245,-1461.1873817340997,51.42857142857143,59.17874396135266
0,25,True,24,-7757.8112391613495,33.333333333333336,5.797101449275362
0,28,False,201,-156.0256983335812,51.74129353233831,48.55072463768116
0,28,True,20,-6105.358908624777,35.0,4.830917874396135
0,30,False,178,699.3020631725544,52.247191011235955,42.99516908212561
0,30,True,17,-5240.983209836356,35.294117647058826,4.106280193236715
0,33,False,138,2370.9914928209027,52.89855072463768,33.333333333333336
0,33,True,13,-1575.6942545529682,46.15384615384615,3.140096618357488
5,0,False,378,-27834.9489576338,47.883597883597886,91.30434782608695
5,0,True,39,-11355.51318072945,35.8974358974359,9.420289855072463
5,15,False,350,-24480.984080241138,48.0,84.54106280193237
5,15,True,36,-13786.033456388923,30.555555555555557,8.695652173913043
5,18,False,318,-17975.41035383661,48.742138364779876,76.81159420289855
5,18,True,35,-12775.327409428957,31.428571428571427,8.454106280193237
5,20,False,288,-10044.603074166858,50.0,69.56521739130434
5,20,True,30,-9799.211142360076,33.333333333333336,7.246376811594203
5,22,False,265,-2704.283274525532,51.320754716981135,64.00966183574879
5,22,True,27,-7129.2363816427105,37.03703703703704,6.521739130434782
5,25,False,224,-3042.0713874037942,50.892857142857146,54.106280193236714
5,25,True,24,-7757.8112391613495,33.333333333333336,5.797101449275362
5,28,False,184,-187.27209936064583,51.630434782608695,44.44444444444444
5,28,True,20,-6105.358908624777,35.0,4.830917874396135
5,30,False,164,-269.0724207489063,51.829268292682926,39.61352657004831
5,30,True,17,-5240.983209836356,35.294117647058826,4.106280193236715
