entry_idx,exit_idx,direction,entry,exit,stop,target,size,pnl,win,result,mae,adx_at_entry,atr_at_entry,fractal_bar,fractal_label,timestamp,entry_ts,frk_kind,h1,h3,h6,adx_fr
13,175,short,1.269,1.26548,1.2725199999999999,1.26548,284090.9090909117,971.5909090909087,True,TP,0.003250000000000197,72.27149512704703,0.0006644868602805687,11,H,2024-12-02 14:40:00+00:00,2024-12-02 01:10:00+00:00,H,10.200000000000209,11.450000000000626,11.450000000000626,76.77945500978838
190,242,short,1.26277,1.26602,1.26592,1.25962,320544.73304473446,-1073.8248556998526,False,SL,0.004020000000000135,51.175618188491654,0.0009248111025710344,188,H,2024-12-02 20:15:00+00:00,2024-12-02 15:55:00+00:00,H,6.200000000000649,32.13333333333364,30.16666666666704,50.64169197492089
271,388,short,1.26543,1.269,1.2689,1.2619600000000002,287889.81571583584,-1056.5556236770747,False,SL,0.003469999999999862,12.553743980796945,0.0008394019622567592,269,H,2024-12-03 08:25:00+00:00,2024-12-02 22:40:00+00:00,H,14.000000000000679,25.99999999999936,19.466666666666153,14.066293859198083
406,442,short,1.26772,1.26423,1.27121,1.26423,283212.63733442454,960.0908405636972,True,TP,0.0006800000000000139,29.095991454819828,0.000692991046585384,404,H,2024-12-03 12:55:00+00:00,2024-12-03 09:55:00+00:00,H,23.100000000000342,32.1333333333329,25.516666666666563,33.46430929291965
443,502,short,1.26468,1.26894,1.26884,1.26052,239906.97420740165,-1045.9944075442545,False,SL,0.004569999999999963,22.239218048967516,0.0006856755228048456,441,H,2024-12-03 17:55:00+00:00,2024-12-03 13:00:00+00:00,H,13.400000000001189,15.833333333333437,13.43333333333289,20.785059189997728
587,657,short,1.26613,1.27002,1.26992,1.26234,260568.09198610674,-1039.6666870245526,False,SL,0.003989999999999938,21.744561840352244,0.0004493172305606632,585,H,2024-12-04 06:50:00+00:00,2024-12-04 01:00:00+00:00,H,7.200000000000539,10.300000000000864,11.216666666667615,20.485215344901388
662,683,short,1.26904,1.26524,1.27284,1.26524,257146.4215150216,951.4417596055864,True,TP,0.00046999999999997044,40.63405812323497,0.0005238804041601925,660,H,2024-12-04 09:00:00+00:00,2024-12-04 07:15:00+00:00,H,47.40000000000188,47.20000000000132,27.016666666667504,44.832129014333816
725,760,short,1.26707,1.27111,1.27101,1.2631299999999999,250424.0658256677,-1036.7556325182752,False,SL,0.004130000000000189,13.813255349603418,0.0007244299005649524,723,H,2024-12-04 15:25:00+00:00,2024-12-04 12:30:00+00:00,H,9.100000000001884,9.333333333334526,15.816666666667777,14.9186396020674
874,958,short,1.26973,1.2731999999999999,1.2731,1.2663600000000002,289704.2323525218,-1034.2441094984629,False,SL,0.003390000000000004,13.141852764804394,0.00046930057536928647,872,H,2024-12-05 07:55:00+00:00,2024-12-05 00:55:00+00:00,H,8.999999999999009,11.499999999999105,8.99999999999975,14.481442829741502
981,1033,short,1.2718,1.2760299999999998,1.2759299999999998,1.2676700000000003,233888.81886998465,-1012.7385857069713,False,SL,0.0041599999999999415,23.652284937621886,0.0006682105896328413,979,H,2024-12-05 14:10:00+00:00,2024-12-05 09:50:00+00:00,H,17.299999999997873,23.76666666666472,18.466666666665517,26.84629111751197
1159,1313,short,1.27545,1.2788099999999998,1.2787099999999998,1.2721900000000002,293200.44051409827,-1014.4735241787236,False,SL,0.005249999999999977,24.108005409999667,0.0004418964192345718,1157,H,2024-12-06 13:30:00+00:00,2024-12-06 00:40:00+00:00,H,6.099999999999994,8.033333333333411,7.183333333333024,21.9739237986987
1331,1414,short,1.27494,1.26989,1.27999,1.26989,187265.0892740832,926.9621919067117,True,TP,0.0006300000000001305,25.49089871725987,0.0011284107135898778,1329,H,2024-12-06 21:55:00+00:00,2024-12-06 15:00:00+00:00,H,16.899999999999693,20.299999999999763,32.683333333332804,24.430725696329837
1440,1547,short,1.27437,1.2776999999999998,1.2775999999999998,1.2711400000000002,295652.73150254897,-1014.0888690536937,False,SL,0.003330000000000055,61.86458844151876,0.000548678370920274,1438,H,2024-12-09 09:20:00+00:00,2024-12-09 00:25:00+00:00,H,4.299999999999304,6.433333333332551,7.016666666666744,61.892497844805256
1635,1680,short,1.27829,1.27431,1.2822699999999998,1.27431,237391.31509112573,921.0783025535376,True,TP,0.0003500000000000725,25.090278143954762,0.0006470540998573782,1633,H,2024-12-09 20:25:00+00:00,2024-12-09 16:40:00+00:00,H,29.999999999998916,34.03333333333277,24.366666666666422,26.833278332061347
1689,2275,short,1.27474,1.2711700000000001,1.2783099999999998,1.2711700000000001,267234.79470258416,927.3047376179272,True,TP,0.003409999999999913,35.89728399053217,0.0004946650504503439,1687,H,2024-12-11 22:00:00+00:00,2024-12-09 21:10:00+00:00,H,12.099999999999334,12.166666666666437,12.449999999999406,39.06497508872179
2307,2444,short,1.27649,1.2731,1.27988,1.2731,284159.6650337356,934.8852979609915,True,TP,0.0023000000000001908,24.303330480885855,0.0005078895890279774,2305,H,2024-12-12 12:05:00+00:00,2024-12-12 00:40:00+00:00,H,25.800000000000267,21.600000000000136,22.35000000000061,26.693595972243045
2451,2472,short,1.27316,1.2700200000000001,1.2763,1.2700200000000001,309761.18389936286,941.6739990540384,True,TP,0.0011999999999998678,39.21666875019577,0.0006198995789598881,2449,H,2024-12-12 14:25:00+00:00,2024-12-12 12:40:00+00:00,H,7.300000000001194,13.533333333333175,14.366666666666047,37.8513830300263
2481,2671,short,1.26996,1.26332,1.2766,1.26332,147901.63515580093,967.276693918935,True,TP,0.0020400000000000418,30.73801522602382,0.0011506385577226776,2479,H,2024-12-13 07:00:00+00:00,2024-12-12 15:10:00+00:00,H,36.89999999999971,35.766666666665614,25.366666666665946,29.420221648711838
2676,2832,short,1.26267,1.25821,1.2671299999999999,1.25821,222363.14447841365,969.5033099258633,True,TP,0.0041400000000000325,38.24244719142526,0.0006686033975261911,2674,H,2024-12-13 21:55:00+00:00,2024-12-13 07:25:00+00:00,H,11.300000000000754,19.766666666666634,14.433333333333147,34.30753284305901
2840,2961,short,1.26144,1.2648799999999998,1.2647799999999998,1.2581,299830.7357703573,-1061.4008046270312,False,SL,0.0035600000000000076,39.70104061605093,0.0006817937264430644,2838,H,2024-12-16 08:50:00+00:00,2024-12-15 22:45:00+00:00,H,79.39999999999836,58.333333333332085,31.333333333332472,37.00613116881731
3058,3348,short,1.26875,1.2727099999999998,1.2726099999999998,1.2648900000000003,256689.2874162581,-1042.1585069099415,False,SL,0.004089999999999927,28.835035673933003,0.0007978488074672375,3056,H,2024-12-17 17:05:00+00:00,2024-12-16 16:55:00+00:00,H,14.499999999999513,32.600000000000406,41.083333333333805,32.23934044561074
3359,3407,short,1.27166,1.2676200000000002,1.2756999999999998,1.2676200000000002,242673.0357320883,956.1317607843846,True,TP,0.0011600000000000499,29.76980834385025,0.0006843781722417019,3357,H,2024-12-17 22:00:00+00:00,2024-12-17 18:00:00+00:00,H,18.000000000000238,21.600000000000136,17.71666666666653,29.77836945858348
3414,3659,short,1.2712,1.2678000000000003,1.2746,1.2678000000000003,291164.8182251416,960.843900142923,True,TP,0.0010999999999998789,33.26959715218117,0.000802332289025338,3412,H,2024-12-18 19:00:00+00:00,2024-12-17 22:35:00+00:00,H,41.999999999999815,42.76666666666633,27.766666666666495,30.8251125258229
3665,3668,short,1.264,1.26038,1.26762,1.26038,276123.98369250784,971.9564225976156,True,TP,0.00011999999999989797,44.039007011503664,0.0012076766665653986,3663,H,2024-12-18 19:45:00+00:00,2024-12-18 19:30:00+00:00,H,35.799999999999166,33.13333333333279,21.3166666666668,41.26810688087289
3682,3816,short,1.25757,1.2618999999999998,1.2617999999999998,1.2533400000000003,238602.4551283466,-1057.0088762185092,False,SL,0.004689999999999861,54.326666114494294,0.0014163122093444676,3680,H,2024-12-19 08:05:00+00:00,2024-12-18 20:55:00+00:00,H,26.399999999999757,64.83333333333395,48.98333333333338,57.741918825290924
3874,3897,short,1.26134,1.2575699999999999,1.26511,1.2575699999999999,264912.0149683406,972.2270949338234,True,TP,0.0007300000000001194,40.35460996108564,0.0010439478758566818,3872,H,2024-12-19 14:50:00+00:00,2024-12-19 12:55:00+00:00,H,28.099999999999792,47.63333333333305,30.049999999999244,42.71094873074997
3903,3922,short,1.25727,1.2530400000000004,1.2614999999999998,1.2530400000000004,238402.02538535677,984.6003648414601,True,TP,0.00043999999999999595,36.80270150267895,0.0010147174505020888,3901,H,2024-12-19 16:55:00+00:00,2024-12-19 15:20:00+00:00,H,16.199999999999548,21.66666666666724,24.183333333333746,35.94905554417021
3941,4019,short,1.25179,1.24844,1.25514,1.24844,303966.1406054989,987.8899569678606,True,TP,0.0013199999999999878,54.26777462099879,0.000795921154818676,3939,H,2024-12-20 01:00:00+00:00,2024-12-19 18:30:00+00:00,H,18.400000000000638,43.46666666666647,40.0666666666664,56.25576124409303
4024,4165,short,1.24915,1.25257,1.25247,1.24583,309688.3947584615,-1090.103149549778,False,SL,0.0036800000000001276,17.99297983670331,0.00048688294163399203,4022,H,2024-12-20 13:10:00+00:00,2024-12-20 01:25:00+00:00,H,10.700000000001264,7.933333333334236,7.03333333333389,19.400386208550998
4223,4266,short,1.26028,1.2564600000000001,1.2641,1.2564600000000001,266299.59138811746,990.6344799637795,True,TP,0.0005599999999998939,47.53301140145327,0.0008737525639318483,4221,H,2024-12-20 21:35:00+00:00,2024-12-20 18:00:00+00:00,H,15.100000000001224,37.400000000000766,36.20000000000031,48.52000651473424
4282,4430,short,1.25677,1.25321,1.26033,1.25321,288531.11907365924,998.3176719948631,True,TP,0.0020299999999999763,60.506381867577105,0.0008056659389225968,4280,H,2024-12-23 11:35:00+00:00,2024-12-22 23:15:00+00:00,H,10.099999999999554,32.399999999999096,48.833333333332405,60.3345673197926
4437,4746,short,1.25255,1.2566099999999998,1.2565099999999998,1.2485900000000003,261907.56581369834,-1089.5354737849145,False,SL,0.004249999999999865,48.36990278132503,0.0006480187456196827,4435,H,2024-12-24 13:55:00+00:00,2024-12-23 12:10:00+00:00,H,3.5000000000007248,20.83333333333437,18.98333333333409,47.90803468404218
4766,4952,short,1.25426,1.2588,1.2587,1.24982,231139.32564962356,-1072.4864710142506,False,SL,0.0055400000000001,28.405079337967575,0.0006813279245987529,4764,H,2024-12-25 07:35:00+00:00,2024-12-24 15:35:00+00:00,H,8.00000000000134,13.333333333334826,13.500000000000734,27.013108667508458
4990,5182,short,1.255,1.2516999999999998,1.2583,1.2516999999999998,307737.4973255034,984.7599914416356,True,TP,0.0009000000000001229,42.36556009938891,0.02327093391372635,4988,H,2024-12-26 12:20:00+00:00,2024-12-25 20:15:00+00:00,H,223.9000000000013,720.666666666668,999.9333333333346,42.21291828872804
5191,5459,short,1.25188,1.2552599999999998,1.2551599999999998,1.2486000000000004,312616.26252703887,-1087.9045935940067,False,SL,0.0033199999999999896,33.76166701852042,0.00038502648927497964,5189,H,2024-12-27 11:25:00+00:00,2024-12-26 13:05:00+00:00,H,8.599999999998609,11.533333333333395,8.266666666667533,34.89697991159761
5477,5512,short,1.25544,1.2591999999999999,1.2590999999999999,1.25178,277186.41944061837,-1069.939579040783,False,SL,0.0038000000000000256,41.48731808126272,0.0006108291663740371,5475,H,2024-12-27 15:50:00+00:00,2024-12-27 12:55:00+00:00,H,8.999999999999009,14.299999999999685,19.500000000000075,43.569360435760544
5587,5787,short,1.25728,1.25366,1.2609,1.25366,277293.6186083609,976.0735375014183,True,TP,0.0034600000000000186,22.47426898474361,0.00046638186063516186,5585,H,2024-12-30 15:20:00+00:00,2024-12-29 22:05:00+00:00,H,2.9999999999996696,4.666666666666153,9.833333333332623,18.755947296346545
5800,5983,short,1.2511,1.2563099999999998,1.2562099999999998,1.2459900000000004,198349.04789380098,-1053.2334443160266,False,SL,0.00529999999999986,43.125874835329874,0.0009913198668434365,5798,H,2024-12-31 07:40:00+00:00,2024-12-30 16:25:00+00:00,H,6.900000000000794,18.599999999999728,25.499999999999783,45.38529509384811
6000,6095,short,1.25477,1.25108,1.25846,1.25108,271824.20062171173,975.8488802319372,True,TP,0.0021500000000000963,15.613048742062858,0.0006051302246897976,5998,H,2024-12-31 17:00:00+00:00,2024-12-31 09:05:00+00:00,H,13.600000000000279,14.200000000000509,17.000000000000345,17.072362443711253
6108,6271,short,1.25151,1.24762,1.2553999999999998,1.24762,260357.27226129588,986.7540618702982,True,TP,0.0025900000000000922,13.217211688516972,0.0007295437177855024,6106,H,2025-01-02 10:30:00+00:00,2024-12-31 22:00:00+00:00,H,20.000000000000018,18.733333333333935,16.78333333333337,14.865039148133771
6310,6337,short,1.2404,1.23646,1.24434,1.23646,259557.6978972377,996.701559925407,True,TP,0.0007200000000000539,58.4702860922519,0.0009349564878326318,6308,H,2025-01-02 16:00:00+00:00,2025-01-02 13:45:00+00:00,H,16.60000000000217,45.333333333335,31.816666666667867,58.243873161983636
6343,6544,short,1.23692,1.2408599999999999,1.2407599999999999,1.2330800000000002,268912.589925632,-1086.4068632995084,False,SL,0.0038799999999998835,39.59831273688497,0.0010171235285926364,6341,H,2025-01-03 09:15:00+00:00,2025-01-02 16:30:00+00:00,H,25.599999999998957,24.49999999999989,18.49999999999981,40.495394363341916
6586,6743,short,1.24105,1.2443399999999998,1.2442399999999998,1.2378600000000002,320301.0271728691,-1085.8204821159597,False,SL,0.0032000000000000917,11.053316003127112,0.0005653525857315627,6584,H,2025-01-06 02:10:00+00:00,2025-01-03 12:45:00+00:00,H,10.699999999999044,13.133333333333516,14.866666666667475,12.61154950622926
6755,6817,short,1.2437,1.24717,1.24707,1.2403300000000002,299970.94120482734,-1070.8962601011922,False,SL,0.003530000000000033,11.009587913570197,0.0003594765963423064,6753,H,2025-01-06 08:20:00+00:00,2025-01-06 03:10:00+00:00,H,5.9000000000009045,11.700000000001154,13.966666666667125,11.746087779989049
7023,7074,short,1.25093,1.2542499999999999,1.2541499999999999,1.2477100000000003,310618.97803083446,-1062.3169048653817,False,SL,0.003369999999999873,21.55558057525792,0.0004565440471980388,7021,H,2025-01-07 05:45:00+00:00,2025-01-07 01:30:00+00:00,H,4.500000000000615,5.9000000000009045,7.683333333334079,23.205124221549013
7123,7185,short,1.25612,1.25219,1.26005,1.25219,251798.96697469903,964.3900435130945,True,TP,0.0007800000000000029,28.671247522281455,0.000685894559063054,7121,H,2025-01-07 15:00:00+00:00,2025-01-07 09:50:00+00:00,H,11.600000000000499,24.633333333334104,24.583333333333773,29.679622280499014
7187,7426,short,1.24965,1.2429299999999999,1.25637,1.2429299999999999,148692.53581037003,984.3445870646584,True,TP,0.0012000000000000899,31.117560470077468,0.0009286711074926084,7185,H,2025-01-08 11:05:00+00:00,2025-01-07 15:10:00+00:00,H,0.700000000000145,5.933333333332976,9.933333333332905,25.26969824050637
7437,7655,short,1.23594,1.2309200000000002,1.2409599999999998,1.2309200000000002,201007.42759290469,988.9565437570513,True,TP,0.0017700000000000493,47.29520425756841,0.001458922429097967,7435,H,2025-01-09 06:10:00+00:00,2025-01-08 12:00:00+00:00,H,55.600000000000094,65.23333333333437,37.683333333334105,48.250322196967254
7691,7743,short,1.22794,1.23227,1.23217,1.22371,240885.78060376432,-1067.1240080746627,False,SL,0.004369999999999985,47.35034750483849,0.0010877900148318707,7689,H,2025-01-09 13:30:00+00:00,2025-01-09 09:10:00+00:00,H,19.200000000001438,32.29999999999992,46.18333333333354,50.59230068918582
7769,8031,short,1.22957,1.2247900000000003,1.2343499999999998,1.2247900000000003,210936.3204755672,987.1819798256089,True,TP,0.00262999999999991,10.177385588062572,0.0008576341574327125,7767,H,2025-01-10 13:30:00+00:00,2025-01-09 15:40:00+00:00,H,11.999999999998678,16.83333333333259,13.999999999999568,9.72778227500499
8068,8192,short,1.21973,1.21573,1.22373,1.21573,254536.85791785523,992.6937458796363,True,TP,0.0034199999999999786,33.176505925342056,0.0012515260547399476,8066,H,2025-01-13 03:20:00+00:00,2025-01-10 16:35:00+00:00,H,12.300000000000644,40.03333333333359,37.016666666667135,31.94481160974421
8240,8412,short,1.21416,1.2185799999999998,1.2184799999999998,1.20984,237980.178039409,-1075.6704047380972,False,SL,0.004410000000000025,17.181043389746343,0.0006606352226782852,8238,H,2025-01-13 21:40:00+00:00,2025-01-13 07:20:00+00:00,H,25.0999999999979,27.26666666666544,24.416666666666014,18.406348288068273
8475,8516,short,1.21664,1.2203499999999998,1.2202499999999998,1.21303,281805.4473913762,-1073.6787545611094,False,SL,0.0045200000000000795,31.32113761191623,0.0008614571312611884,8473,H,2025-01-14 16:05:00+00:00,2025-01-14 12:40:00+00:00,H,18.599999999999728,22.366666666667385,18.48333333333341,30.473264652922285
8560,8695,short,1.22045,1.2168400000000001,1.22406,1.2168400000000001,278831.2680158605,978.69775073564,True,TP,0.0012499999999999734,30.51087503610867,0.0006055277090913096,8558,H,2025-01-15 07:00:00+00:00,2025-01-14 19:45:00+00:00,H,8.799999999999919,8.63333333333364,12.783333333333815,31.005011712624455
8719,8773,short,1.22064,1.2244,1.2243,1.21698,277696.1352580829,-1071.907082096196,False,SL,0.009090000000000042,16.740357705395887,0.0009655650618386055,8717,H,2025-01-15 13:30:00+00:00,2025-01-15 09:00:00+00:00,H,51.000000000001044,61.33333333333399,37.416666666666806,18.419082537214805
8796,8809,short,1.22687,1.22318,1.2305599999999999,1.22318,272533.5458600619,978.3954296376144,True,TP,0.0006800000000000139,23.36858122159295,0.001217922537479039,8794,H,2025-01-15 16:30:00+00:00,2025-01-15 15:25:00+00:00,H,25.599999999998957,29.766666666665532,40.04999999999999,26.60717781387577
8814,8861,short,1.22118,1.2245199999999998,1.2244199999999998,1.21794,313405.1662098842,-1078.11377176197,False,SL,0.0033199999999999896,36.61956228483165,0.0012561267312799526,8812,H,2025-01-15 20:50:00+00:00,2025-01-15 16:55:00+00:00,H,20.999999999999908,32.73333333333388,32.63333333333285,32.91600228711175
